"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2023","35.195","37.880","38.750","34.350","58.84K","-8.38%"
"08/28/2023","38.414","34.835","38.645","34.750","25.05K","10.46%"
"08/25/2023","34.777","32.005","35.800","31.505","74.57K","8.89%"
"08/24/2023","31.938","32.800","34.000","28.985","100.40K","-13.18%"
"08/23/2023","36.786","42.000","42.910","35.025","93.39K","-14.27%"
"08/22/2023","42.908","40.700","44.800","39.095","96.93K","5.21%"
"08/21/2023","40.782","40.000","42.900","37.980","88.94K","12.01%"
"08/18/2023","36.410","37.000","38.405","35.640","60.12K","-1.13%"
"08/17/2023","36.825","37.290","39.520","36.155","71.07K","-2.54%"
"08/16/2023","37.784","39.995","42.660","37.090","68.41K","-2.65%"
"08/15/2023","38.813","35.750","40.705","35.405","90.81K","12.72%"
"08/14/2023","34.434","35.800","37.260","33.680","59.81K","-2.45%"
"08/11/2023","35.300","37.750","38.090","35.075","65.70K","-4.74%"
"08/10/2023","37.056","40.000","42.450","36.500","87.87K","-6.95%"
"08/09/2023","39.823","31.500","43.545","31.040","155.34K","28.19%"
"08/08/2023","31.066","30.785","31.810","29.500","51.41K","1.90%"
"08/07/2023","30.487","29.250","31.200","28.625","41.34K","5.66%"
"08/04/2023","28.853","31.220","31.470","28.500","59.85K","-5.32%"
"08/03/2023","30.473","28.765","31.390","28.765","60.23K","6.02%"
"08/02/2023","28.742","27.420","29.180","27.150","51.35K","5.97%"
"08/01/2023","27.123","29.170","30.500","26.920","67.18K","-4.38%"
"07/31/2023","28.366","26.875","29.050","26.340","58.77K","9.77%"
"07/28/2023","25.841","28.240","28.500","25.370","36.01K","-9.12%"
"07/27/2023","28.434","28.935","29.550","28.025","74.34K","-2.87%"
"07/26/2023","29.275","33.000","34.350","28.725","77.68K","-10.33%"
"07/25/2023","32.648","30.350","33.125","29.750","74.94K","6.84%"
"07/24/2023","30.557","27.250","30.725","27.005","58.96K","8.50%"
"07/21/2023","28.164","28.500","30.890","27.160","79.63K","0.52%"
"07/20/2023","28.018","25.400","28.890","25.280","68.15K","3.91%"
